	NOMS	Occurence
0	(H.-C.-A) Vergoz	1
1	(J.-A.) Bussière	1
2	A. Bloch	1
3	A. Branche	1
4	A. Brochet	1
5	A. Calmette	4
6	A. Cheyssial	1
7	A. Combe	1
8	A. Duvigneau	1
9	A. F. Legendre	1
10	A. Gauducheau	2
11	A. Gauducheau 	1
12	A. Guillon	2
13	A. Guillon 	2
14	A. Hagen	1
15	A. Herivaux	1
16	A. Hérivaux	1
17	A. Jolly	1
18	A. Kermorgant	16
19	A. Kermorgant. 	1
20	A. Kéruzoré	1
21	A. Lacour	1
22	A. Laveran	1
23	A. Laveran 	2
24	A. Le Bihan	1
25	A. Lespinasse	1
26	A. Monnet	2
27	A. Pichon	1
28	A. Raillet	1
29	A. Rivoalen	1
30	A. Seyberlich	1
31	A. Sicé	2
32	A. Splendore	1
33	A. Thiroux	2
34	A. Vallet	1
35	A. Vincent 	1
36	A. Vivie	2
37	A. de Raymond	1
38	A.-B. Pic	1
39	A.-D. Morel.	1
40	A.Kermorgant	1
41	Abbattucci	1
42	Abbatucci	22
43	Abel Lahille	1
44	Advier	3
45	Afrique occidentale française. Afrique équatoriale française. Madagascar. Réunion. Établissements français de l'Inde. Établissements français de l'Océanie. Indochine	1
46	Alain	2
47	Albert Lespinasse	1
48	Albert Pairault	1
49	Albert Sallet	1
50	Aldo Castellani	1
51	Allain	6
52	Allain. I	1
53	Allan Mc Laughlin	1
54	Allard	2
55	Alliot	1
56	Alquier	1
57	Amigues	2
58	Andrieux	1
59	André Augagneur	3
60	André dit Duvignaud	1
61	Angelo Celli	1
62	Angier	5
63	Antonini 	1
64	Arathoon	1
65	Arlo	3
66	Arnould	2
67	Aubert	2
68	Aubin	2
69	Audiau	3
70	Audibert	2
71	Augagneur	3
72	Augier	2
73	Augé	1
74	Auvray	1
75	Ayraud	1
76	B. Trinquier	1
77	Bablet	1
78	Bailly	1
79	Ballot	1
80	Barbezieux	1
81	Barbier	1
82	Barbézieux	1
83	Bargy	1
84	Barret	1
85	Basset	1
86	Baucher	1
87	Baujean	2
88	Bauvallet	1
89	Beautes	1
90	Bellocq	1
91	Bernard	1
92	Bernard (Noël)	1
93	Berny	1
94	Bertrand	1
95	Bijon	3
96	Billet	1
97	Biraud	1
98	Bireaud	3
99	Blanchard	10
100	Blin	10
101	Bloch	10
102	Bonain	1
103	Bonhaud	1
104	Bonneau	1
105	Bonnecarrère	1
106	Borrel	1
107	Borrey	2
108	Botreau-Roussel	3
109	Boucher	1
110	Bouet	5
111	Bouffard	14
112	Bouffard.	1
113	Bouillez	1
114	Bouilliez	2
115	Boulnois	1
116	Bourret	1
117	Bouvelot	2
118	Boye	1
119	Boyé	10
120	Boyé. 	1
121	Brau	11
122	Brau. Première partie 	1
123	Brengues	1
124	Briand	2
125	Brimont	4
126	Broquet	5
127	Bruas	1
128	Bréaudat	1
129	Buisson	1
130	Burdin	1
131	Bussière	1
132	Butin	1
133	Béros	1
134	C. Allary	1
135	C. Baril	1
136	C. Birt	2
137	C. Blin 	1
138	C. Cousin	1
139	C. Durieux	1
140	C. Mathis	5
141	C. Mathis 	1
142	C. Mense	1
143	Cachin	1
144	Calmette	3
145	Camail	5
146	Camail 	1
147	Capéran	1
148	Cardeillac	1
149	Carl Mense	1
150	Carmouze	1
151	Carnas	1
152	Caro	2
153	Carretier	1
154	Carré	1
155	Cartron	6
156	Cartron 	2
157	Casabianca	1
158	Cassagnou	3
159	Castellani	1
160	Castueil	1
161	Cavalade	1
162	Cazanove	6
163	Cazanove. A	1
164	Certain	1
165	Ch. Grall	1
166	Ch. Jojot	1
167	Ch. Meslin	1
168	Ch. Nicolle	1
169	Ch. Niel	1
170	Ch.-M.-E Bailly	1
171	Chabaneix	1
172	Chaigneau	2
173	Chamontin	1
174	Chapeyrou	1
175	Charbonnier	1
176	Charles Crozafon	1
177	Chartres	1
178	Chatenay	2
179	Cheneveau	2
180	Cheynel	2
181	Cheyssial	1
182	Chosky	1
183	Chouquet	2
184	Chédécal	1
185	Ciro L. Urriola	1
186	Clapier	4
187	Clarac	12
188	Clarac 	1
189	Clavel	1
190	Clementino Fraga	1
191	Clouard	1
192	Clément	4
193	Coliboeuf	1
194	Colin	2
195	Collin	1
196	Collomb	3
197	Comméléran	5
198	Conan	1
199	Constant Mathis	3
200	Constant Mathis. I	1
201	Contaut	1
202	Coppin	3
203	Cordier	4
204	Coste	1
205	Couderc	1
206	Coulomb	1
207	Coursin	1
208	Courtois-Suffit	1
209	Cousin	5
210	Couteaud	1
211	Couvy	8
212	Cozanet	3
213	Crespin	2
214	D'Anella	1
215	D'Anfreville	1
216	D. Buquet	1
217	Dagorn	5
218	Damiens	2
219	Daniel Bruce	1
220	Dantec	3
221	David Bruce	1
222	De Baudre	1
223	De Goyon	1
224	De Marqueissac	1
225	Decay	1
226	Decorse	1
227	Delage	1
228	Delay	3
229	Delinotte	1
230	Delmas	2
231	Delrieu	1
232	Deneufbourg	1
233	Denier	2
234	Denoeux	1
235	Destelle	1
236	Devy	1
237	Dom Sauton	1
238	Donnet	1
239	Dopter 	1
240	Doreau	1
241	Doucet	2
242	Dourne	1
243	Dr Bonain	1
244	Dr Marqueissac	1
245	Drevon	2
246	Drogoz	1
247	Dubalen	3
248	Dubruel	2
249	Dufougeré	1
250	Duga	2
251	Dumas	1
252	Duperron 	1
253	Dupuy	7
254	Durand	1
255	Dussaud	1
256	Duval	1
257	Duvigneau	4
258	E Heckel	1
259	E Marchoux	1
260	E. Bédier	3
261	E. Cousin	4
262	E. Devaux	1
263	E. Farinaud	2
264	E. Guérin	1
265	E. H. Ross	1
266	E. L. Peyre	1
267	E. Marchoux	1
268	E. Marque	1
269	E. Massal	2
270	E. Maurel	1
271	E. Monnier	3
272	E. Métin	2
273	E. Pinard 	1
274	E. Rosé	2
275	E. Sambuc	1
276	E. Tournier	2
277	E. Tournier 	1
278	E. Vallet	1
279	E. Vogel	1
280	E. W. Suldey 	1
281	E.-J. Bouvier 	1
282	E.-L. Peyre	1
283	E.-W. Suldey	1
284	E.-W. Suldey 	1
285	Ed	1
286	Edmond Sergent	1
287	Ehlers	1
288	Emilio Ribas	1
289	Escande De Messières	1
290	Escande de Messières	1
291	Espinasse	1
292	Extrait des Rapports annuels des provinces	1
293	Extrait du Rapport annuel de 1912	1
294	Extrait du Rapport annuel de 1912 de la province de Vinh-Yen	1
295	Extraits des Rapports médicaux annuels de 1911 	1
296	F. A. A. Clayton	1
297	F. Borrey	1
298	F. Borrey. I	1
299	F. Cazanove	1
300	F. Clément 	1
301	F. Guichard	5
302	F. Heckenroth	1
303	F. J. Vernier 	1
304	F. Legendre	1
305	F. M. A. Legendre 	1
306	F. Montalieu	1
307	F. Noc	4
308	F. Noc 	2
309	F. Ramond	1
310	F. Toullec	1
311	F.-M.-A. Legendre 	1
312	Fabry	2
313	Fagon	2
314	Farges	2
315	Fargier	1
316	Feray	1
317	Feray. 	1
318	Ferraud	3
319	Ferris	1
320	Ferré	3
321	Fonquernie	3
322	Fontaine(1)	1
323	Fournials	2
324	Fournials. I	1
325	Fr Turié	1
326	Fr.Turié	1
327	Fraissinet	1
328	Franck Guichard	3
329	Frontgous	1
330	Fréville	1
331	Fulconis	3
332	Féray	1
333	G Blin	1
334	G. Barbézieux 	1
335	G. Blin	1
336	G. Bourret	2
337	G. Delourmel	1
338	G. Girard	5
339	G. Grall	2
340	G. Hudellet	2
341	G. J. Stefanopoulo 	1
342	G. Lavier	2
343	G. Ledentu	5
344	G. Lefrou	2
345	G. Lefrou 	2
346	G. Martin	2
347	G. Martin 	2
348	G. Mathis	1
349	G. Merveilleux	1
350	G. Milian 	1
351	G. Moustardier	1
352	G. Nicolle	3
353	G. Pille	1
354	G. Saleun	2
355	G.Blin	1
356	Gabriel Lambert	4
357	Gaetano Gaglio	1
358	Gaide	21
359	Gaide 	1
360	Gaignaire	1
361	Gall	3
362	Gallas	3
363	Gallay	2
364	Garnier	3
365	Garnier (J.-A)	1
366	Garrot	2
367	Gascougnolle	1
368	Gast	2
369	Gastaud	1
370	Gaudier	1
371	Gauducheau	7
372	Gauducheau. 	1
373	Gaulène	2
374	Gautier	3
375	Gayrard	1
376	Genevray	1
377	Gentilhomme	1
378	Georgelin	3
379	Georges Grall	1
380	Georges Lambert	9
381	Gilbert-Desvallons	1
382	Girard	1
383	Giudice	1
384	Giudicelli	1
385	Gorosaku Shibayama	1
386	Gouin	1
387	Gourmelon	1
388	Gourvil	1
389	Gouzien 	1
390	Grall	1
391	Grattan	1
392	Gravellat	3
393	Gravot	8
394	Gries	3
395	Grimes	1
396	Griscelli	2
397	Grizaud	1
398	Grosfilez	1
