Unnamed: 0	article_id	article_auteur	article_détail	article_titre	revue_annee	revue_numero	article_page	Unnamed: 8
0.0	AHMC-01-9	Clarac	Première partie	Contribution à la géographie médicale. Notes sur le paludisme observé à Dakar (Sénégal).	1898	1	9	
2.0	AHMC-01-114	Fontaine(1)		Notes sur la mortalité des troupes d'infanterie et d'artillerie de marine casernées en Cochinchine (1890 à 1896).	1898	1	114	
3.0	AHMC-01-129	Calmette		Sur le mécanisme de l'immunisation contre les venins.	1898	1	129	
4.0	AHMC-01-135	Kermorgant. A		Note succinte sur l’état sanitaire de nos colonies	1898	1	135	
5.0	AHMC-01-143	J-C Baurac		Clinique d'Outre-Mer. Contribution à l'étude de la toxicologie. Troubles que peut provoquer l'iodure de potassium. Observation faite à l'hôpital colonial de My-Tho (Cochinchine).	1898	1	143	
6.0	AHMC-01-149	Pierre (Louis-Édouard)		Clinique d'Outre-Mer. Rapport sur les conditions dans lesquelles se trouvent actuellement les lépreux en Nouvelle-Calédonie.	1898	1	149	
7.0	AHMC-01-156	Henry		Variétés. Médecins annamites. Organisation du service médical indigène en Annam.	1898	1	156	
9.0	AHMC-01-169	J. Nogué ;Lombard ;Devoti ; Mondon ; Depasse ; Pinard ; Grognier ; Angier; Conan ; Ortholan	Chapitre premier. Le Cambodge — ses habitants — la variole au Cambodge à l'état endémique — épidémies fréquentes  Chapitre II. Mauvais résultat, 1890. — Création d'un institut vaccinogène à Saïgon, 1891. — Service régulier de la vaccine à l'hôpital mixte de Pnom-Penh. —  Mauvais résultat, 1890. — Création d'un institut vaccinogène à Saïgon, 1891. — Service régulier de la vaccine à l'hôpital mixte de Pnom-Penh. —La variole d'après les Cambodgiens. — Traitement de la variole, vaccinations chinoise et malaise. Chapitre III. Les médecins français au Cambodge. — Premières vaccinations. — Difficultés que rencontre la pratique jennérienne. — Première tournée faite Chapitre IV. Le vaccin. — Procédé opératoire. — Première tournée. — Kompong-Thom. — La pêche dans les lacs. — La rivière de Kompong-Thom. — Insuccès de notre tournée. — Les causes  Contribution à la géographie médicale. Missions de vaccine au Cambodge. Par J. Nogué. Chapitre III. Les médecins français au Cambodge. — Premières vaccinations. — Difficultés que rencontre la pratique jennérienne. — Première tournée faite  — Préjugés indigènes. Chapitre VII. Banam-prey-veng. — Le Tonlé-Tauch. — Richesses des provinces de Lovéa-Em-Sitho-Parang, Sitho-Kandal, Soai-Romiet, Thbong-Khmum. Chapitre VIII. De Phnom-penh à Soai-riêng la Conchichine. — Le Vaïco occidental. — La plaine des joncs. — Tournée de vaccine. — Les forêts de Romduol et Romeas-Hêk. Chapitre IX. De Phnom-Penh à Kampot. — La circonscription, les provinces. — Le nuoc-mam annamite et le prâhok cambodgien. — Le Prââk. — La culture du poivre. — Kampot. — Une plantation de Café moka. — La pointe samit. — Îles du Golfe de Siam  — Tournée de vaccine	Contribution à la géographie médicale. Missions de vaccine au Cambodge.	1898	1	169	
20.0	AHMC-01-234	Gries	Extrait de rapport	Considérations générales sur la morbidité et la mortalité de l'année 1897. Aperçu démographique de la Martinique. 	1898	1	234	
24.0	AHMC-01-259	Blin		Cas de disproportion physiologique considérable du corps d'un foetus avec celui de sa mère. Naine de race hindoue mesurant seulement 1m,10 de taille.	1898	1	259	
30.0	AHMC-01-293	A. Kermorgant		Variétés. De quelques coutumes des indigènes des Samoa et de Wallis qui tendent à disparaître	1898	1	293	
31.0	AHMC-01-305	Lasnet		Contribution à la géographie médicale. Mission du Baoulé.	1898	1	305	
34.0	AHMC-01-349	Simond,Roux		Rapport sur les cas de pestes traités dans l'Inde anglaise au moyen du sérum antipesteux préparé à l'Institut Pasteur de Paris	1898	1	349	
35.0	AHMC-01-361	Drevon		Morbidité et mortalité du personnel militaire de la Guadeloupe pendant l'année 1897.	1898	1	361	
36.0	AHMC-01-368	Koch		Observations médicales faites sous les tropiques.	1898	1	368	
37.0	AHMC-01-396	Miquel	I Population - II Géologie	Notes d'Histoire naturelle sur le Fouta-Djallon.	1898	1	396	
42.0	AHMC-01-425	Thiroux		Agglutination et séro-diagnostic dans la fièvre typhoïde.	1898	1	425	
44.0	AHMC-01-433	Auvray,Boury	I.Épidémie de 1897- II Diagnostic — Traitement	Rapport sur l'épidémie de fièvre jaune qui a régné au Soudan français en 1897(1)	1898	1	433	
50.0	AHMC-01-465	Ed	Jourdran	Note sur les ophidiens de Madagascar.	1898	1	465	
51.0	AHMC-01-467	Gries		"Note sur un nouvel testament ""aiguille-hépatotomie"" pour l'ouverture des abcès profonds du foie."	1898	1	467	
52.0	AHMC-01-470	Lidin	1° Morbidité  2° Mortalité	Morbidité et mortalité à Madagascar pendant l'année 1897. Statistique médicale. Extrait du rapport.	1898	1	470	
55.0	AHMC-01-525	L.  Bréaudat		Sur le mode de formation de l'indigo dans les procédés d'extraction industrielle. Fonctions diastasiques des plantes indigofères.	1898	1	525	
63.0	AHMC-01-562	Robert Koch		Sur l'extension de la peste à bubons.	1898	1	562	
64.0	AHMC-01-566	C. Mense		Notes d'hygiène et de médecine sur l'État du Congo. 	1898	1	566	
