	Unnamed: 0	cote	article_id	chapitre	revue_annee	page	article_description	article_section
13384	33553	90156x1898x69	AMN-1898-5	Rapport médical d'ensemble sur les colonnes du Yen-Thé (Novembre et décembre 1895), par le Dr Fruitet, 	1898	5	 Titre premier. Journaux de marche des ambulances de première ligne des trois colonnes. Première colonne	article
13395	33580	90156x1898x69	AMN-1898-29	Poste militaire de Nioro (Soudan), par le Dr Suard, 	1898	29	 Date de l'occupation du poste et circonstances principales de son histoire exprimées sommairement. / Épidémies qui y ont régné	article
13421	33616	90156x1898x69	AMN-1898-65	Note sur l'azote nitrique de quelques eau de la ville de Brest, par P. Le Naour, 	1898	65	 / Variétés. / Secours médicaux aux pêcheurs (Campagne de 1897)	article
13422	33620	90156x1898x69	AMN-1898-69	Variétés. Secours médicaux aux pêcheurs (Campagne de 1897). [Dr Bonnafy.]. / Statistique de la marine Néerlandaise pour 1895	1898	69		article
13428	33632	90156x1898x69	AMN-1898-81	Notes sur les pêcheurs d'Islande, par le Dr Sisco, 	1898	81		article
13460	33685	90156x1898x69	AMN-1898-134	Contribution au traitement des bubons et des cystites, par le Dr Touren, 	1898	134	 / 1° Bubon suppuré. / A. Avant le septième jour	article
13464	33690	90156x1898x69	AMN-1898-139	Contribution au traitement des bubons et des cystites, par le Dr Touren	1898	139	 2° Bubon syphilitique. Rétrécissements. / Un cas d'éléphantiasis du scrotum, ablation, mort par tétanos, par le Dr Robert, ..	article
13465	33693	90156x1898x69	AMN-1898-142	Un cas d'éléphantiasis du scrotum, ablation, mort par tétanos, par le Dr Robert, 	1898	142	 / Un cas d'obsession fétichiste de la robe, par le Dr A. Pichon, ..	article
13466	33700	90156x1898x69	AMN-1898-149	Variétés. / Les pertes d'hommes pendant la campagne de pêche à Terre-Neuve en 1897	1898	149		article
13467	33702	90156x1898x69	AMN-1898-151	Variétés. Les pertes d'hommes pendant la campagne de pêche à Terre-Neuve en 1897. / Rapport médical de la mission lyonnaise en Chine	1898	151		article
13474	33712	90156x1898x69	AMN-1898-161	L'hygiène et le service médical à bord de la surprise, par le Dr Titi, 	1898	161		article
13490	33761	90156x1898x69	AMN-1898-210	Le gonocoque. Leçon faite par M. V. Morax à l'institut pasteur, recueillie. Par le Dr Chastang, 	1898	210	 / Historique	article
13496	33786	90156x1898x69	AMN-1898-235	Note additionnelle sur la nature des blessures dans les batailles navales contemporaines, par le Dr J.-A. Portengen, 	1898	235	 II. / Combat de Yalu	article
13499	33792	90156x1898x69	AMN-1898-241	Recherches expérimentales sur l'empoisonnement par la fausse oronge, par le Dr Le Dantec, 	1898	241		article
13505	33802	90156x1898x69	AMN-1898-251	Une campagne de vaccine au Sénégal (1896), par le Dr Porquier, 	1898	251		article
13515	33826	90156x1898x69	AMN-1898-275	Clinique otologique, par le Dr de Champeaux, 	1898	275	 / I. Maladies de l'oreille. / A. Bouchons cérumineux	article
13525	33848	90156x1898x69	AMN-1898-297	Contribution au traitement de la syphilis par les injections intra-musculaires d'huile grise, par le Dr Touren, 	1898	297	 / 1re proposition	article
13528	33852	90156x1898x69	AMN-1898-301	Variétés. / Médecins de colonisation de l'Algérie	1898	301		article
