	Unnamed: 0	cote	article_id	chapitre	revue_annee	page	article_description	article_section
9540	25894	90156x1890x53	AMN-1890-5	Contribution à l'étude de la fièvre jaune à la Martinique. Par le Dr Clarac	1890	5	 / Épidémie observée à Saint-Pierre (Martinique) - janvier 1888 à février 1889 inclusivement. / Étiologie. - De la spontanéité de la fièvre jaune à la Martinique	article
9556	25925	90156x1890x53	AMN-1890-36	Contribution à la géographie médicale. / Loango, les bavilis et la colonisation européenne. Par le Dr H. Gros	1890	36	 (Suite et fin.). / Influence des circonstances hygiéniques. - Hygiène des européens. / Habitation	article
9557	25929	90156x1890x53	AMN-1890-40	Contribution à la géographie médicale. Loango, les bavilis et la colonisation européenne. Par le Dr H. Gros	1890	40	 (Suite et fin.). Influence des circonstances hygiéniques. - Hygiène des européens. Habitation. / Vêtements. / Exercice et soins de propreté	article
9575	25952	90156x1890x53	AMN-1890-63	Pathologie exotique. De l'orchite lymphatexique. Par le Dr Albert Valence	1890	63	 / Observ. I	article
9588	25970	90156x1890x53	AMN-1890-81	Contribution à la géographie médicale de l'Indo-Chine. La rivière-noire et le poste de Laï-Chau. Par le Dr Sadoul	1890	81		article
9600	25992	90156x1890x53	AMN-1890-103	III. Bulletin clinique / Considérations sur deux cas de fractures du maxillaire inférieur et deux modalités de traitement. Par MM. le médecin de 1re classe Robert, 	1890	103	 et le médecin sous-lieutenant Merle-Béral	article
9601	25993	90156x1890x53	AMN-1890-104	III. Bulletin clinique. Considérations sur deux cas de fractures du maxillaire inférieur et deux modalités de traitement. Par MM. le médecin de 1re classe Robert, 	1890	104	 et le médecin sous-lieutenant Merle-Béral / Observation 1	article
9609	26012	90156x1890x53	AMN-1890-123	Hygiène coloniale. Par le Dr G. Reynaud	1890	123		article
9618	26038	90156x1890x53	AMN-1890-149	Hôpital maritime de Rochefort. Service des Maladies de la peau. Eczéma de la face dorsale des mains compliqué de lymphangite du membre supérieur droit survenu chez un syphilitique. Par le Dr Cheminade	1890	149	 / I	article
9623	26044	90156x1890x53	AMN-1890-155	Hôpital maritime de Rochefort. Service des Maladies de la peau. Index bibliographique. / Prix de médecine navale pour 1889	1890	155		article
9626	26050	90156x1890x53	AMN-1890-161	Rapport médical. Année 1888. / Infirmerie-ambulance de Chiem-Hoa (Haut-Tonquin). Par le Dr Clavel	1890	161	 / Considérations préliminaires. / Historique	article
9627	26051	90156x1890x53	AMN-1890-162	Rapport médical. Année 1888. Infirmerie-ambulance de Chiem-Hoa (Haut-Tonquin). Par le Dr Clavel	1890	162	 Considérations préliminaires. / Situation, environs	article
9646	26083	90156x1890x53	AMN-1890-194	Esquisse géographique de la lèpre de ses rapports avec la consommation du poisson dans le Bengale, le Béhar, l'Orissa et l'Assam. Par Vincents Richards, F. R. C. S, 	1890	194	 Traduit de l'anglais par le Dr G. Guilloteau... / I	article
9653	26115	90156x1890x53	AMN-1890-227	Décret portant constitution et organisation du corps de santé des colonies et pays de protectorat (7 janvier 1890.). Constitution et composition du corps de santé des colonies et pays du protectorat. / Des traitements, suppléments et pensions de retraite	1890	227		article
9654	26116	90156x1890x53	AMN-1890-228	Décret portant constitution et organisation du corps de santé des colonies et pays de protectorat (7 janvier 1890.). Des traitements, suppléments et pensions de retraite. / Du recrutement et de l'avancement	1890	228		article
9655	26117	90156x1890x53	AMN-1890-229	II. Bulletin clinique. / Note sur la césarienne basse suprasymphisaire, par M. le médecin principal Brette	1890	229	 / Anesthésie	article
9656	26118	90156x1890x53	AMN-1890-230	II. Bulletin clinique. Note sur la césarienne basse suprasymphisaire, par M. le médecin principal Brette	1890	230	 Anesthésie. / Extraction du foetus	article
9660	26124	90156x1890x53	AMN-1890-236	Variétés. / Note sur la volatilité des iodures alcalins calcinés en présence des matières organiques et à l'air libre. Par M. Lalande	1890	236		article
9666	26152	90156x1890x53	AMN-1890-264	Épidémie de choléra aux casernes de la citadelle d'Hanoi (avril-mai 1888) et fumigations sulfureuses. Par le Dr E. Sollaud	1890	264	 (Tonquin). Casernes provisoires. / Relation médicale d'un voyage d'immigration indienne effectué par le steamer Nantes-Bordeaux. Par le Dr Honoré Castellan... / Voyage d'immigration. - De la Réunion aux Indes	article
9667	26153	90156x1890x53	AMN-1890-265	Relation médicale d'un voyage d'immigration indienne effectué par le steamer Nantes-Bordeaux. Par le Dr Honoré Castellan	1890	265	 Voyage d'immigration. - De la Réunion aux Indes. / Le bateau. / Coup d'oeil général. / 1° Le pont	article
9689	26180	90156x1890x53	AMN-1890-292	II. Mémoires originaux. / À propos d'une affection oculaire rencontrée chez des ouvriers travaillant dans des caissons sous-marins, par MM. le médecin principal Barrat, 	1890	292	 et le Pharmacien-chimiste de 1re classe Bastian. / I	article
9690	26181	90156x1890x53	AMN-1890-293	II. Mémoires originaux. À propos d'une affection oculaire rencontrée chez des ouvriers travaillant dans des caissons sous-marins, par MM. le médecin principal Barrat, 	1890	293	 et le Pharmacien-chimiste de 1re classe Bastian. I. / II. / Observation I	article
9700	26200	90156x1890x53	AMN-1890-312	II. Mémoires originaux. Notes sur quelques causes de pollution de l'eau de boisson à bord des bâtiments, par M. le médecin principal Quérangal des Essarts	1890	312	 / I. Pollution de l'eau par la rouille	article
9705	26207	90156x1890x53	AMN-1890-319	II. Mémoires originaux. L'anesthésie opératoire à bord pendant le combat sur mer, par M. le médecin principal Canton, 	1890	319	 / Anesthésies générales par inhalation. / 1° Ether	article
9709	26224	90156x1890x53	AMN-1890-338	III. Notes de géographie médicale. Établissements hôspitaliers des pays visités au cours de la croisière de l'aviso «d'entrecasteaux», par M. le médecin de 1re classe Gautier	1890	338	 État sanitaire. Martinique. Généralités. / Alcoolisme. / Prostitution. / Maladies épidémiques	article
9712	26232	90156x1890x53	AMN-1890-346	Rapport médical sur la campagne du croiseur le d'Estaing. Station de Madagascar. Par le Dr Drago	1890	346	 Fait médicaux observés à bord pendant la campagne. Maladies endémiques. Complications. / Traitement	article
9733	26271	90156x1890x53	AMN-1890-385	Rapport médical année 1888. Infirmerie-ambulance de Chiem-Hoa (Haut-Tonquin). Par le Dr Clavel	1890	385	 (Suite.). Choléra. / Conclusions	article
9747	26293	90156x1890x53	AMN-1890-407	II. Mémoires originaux. Les salmonelles. Le groupe typho-salmonelles-colibacille. Par M. le médecin de 2e classe Brisou	1890	407	 / I. Historique	article
