	NOMS	Recherche_G-nbr
0	(H.-C.-A) Vergoz	0
1	(J.-A.) Bussière	0
2	A. Bloch	6
3	A. Branche	3
4	A. Brochet	1
5	A. Calmette	2
6	A. Cheyssial	1
7	A. Combe	5
8	A. Duvigneau	1
9	A. F. Legendre	0
10	A. Gauducheau	0
11	A. Gauducheau 	0
12	A. Guillon	5
13	A. Guillon 	5
14	A. Hagen	8
15	A. Herivaux	0
16	A. Hérivaux	0
17	A. Jolly	5
18	A. Kermorgant	0
19	A. Kermorgant. 	0
20	A. Kéruzoré	0
21	A. Lacour	1
22	A. Laveran	0
23	A. Laveran 	0
24	A. Le Bihan	1
25	A. Lespinasse	0
26	A. Monnet	0
27	A. Pichon	0
28	A. Raillet	0
29	A. Rivoalen	0
30	A. Seyberlich	0
31	A. Sicé	0
32	A. Splendore	0
33	A. Thiroux	0
34	A. Vallet	3
35	A. Vincent 	3
36	A. Vivie	0
37	A. de Raymond	3
38	A.-B. Pic	0
39	A.-D. Morel.	0
40	A.Kermorgant	0
41	Abbattucci	0
42	Abbatucci	13
43	Abel Lahille	1
44	Advier	0
46	Alain	13520
47	Albert Lespinasse	1
48	Albert Pairault	0
49	Albert Sallet	2
50	Aldo Castellani	1
51	Allain	364
52	Allain. I	0
53	Allan Mc Laughlin	0
54	Allard	520
55	Alliot	71
56	Alquier	70
57	Amigues	22
58	Andrieux	196
59	André Augagneur	1
60	André dit Duvignaud	0
61	Angelo Celli	2
62	Angier	14
63	Antonini 	14
64	Arathoon	2
65	Arlo	16
66	Arnould	300
67	Aubert	1035
68	Aubin	377
69	Audiau	6
70	Audibert	136
71	Augagneur	16
72	Augier	151
73	Augé	193
74	Auvray	132
75	Ayraud	7
76	B. Trinquier	0
77	Bablet	14
78	Bailly	656
79	Ballot	72
80	Barbezieux	11
81	Barbier	946
82	Barbézieux	11
83	Bargy	12
84	Barret	246
85	Basset	248
86	Baucher	26
87	Baujean	3
88	Bauvallet	1
89	Beautes	1
90	Bellocq	55
91	Bernard	17175
92	Bernard (Noël)	28
93	Berny	35
94	Bertrand	5221
95	Bijon	17
96	Billet	142
97	Biraud	19
98	Bireaud	4
99	Blanchard	951
100	Blin	288
101	Bloch	589
102	Bonain	1
103	Bonhaud	0
104	Bonneau	291
105	Bonnecarrère	10
106	Borrel	72
107	Borrey	3
108	Botreau-Roussel	6
109	Boucher	693
110	Bouet	134
111	Bouffard	82
112	Bouffard.	82
113	Bouillez	3
114	Bouilliez	6
115	Boulnois	33
116	Bourret	81
117	Bouvelot	1
118	Boye	143
119	Boyé	143
120	Boyé. 	143
121	Brau	44
122	Brau. Première partie 	44
123	Brengues	9
124	Briand	330
125	Brimont	10
126	Broquet	41
127	Bruas	9
128	Bréaudat	1
129	Buisson	395
130	Burdin	57
131	Bussière	103
132	Butin	50
133	Béros	6
134	C. Allary	0
135	C. Baril	0
136	C. Birt	1
137	C. Blin 	1
138	C. Cousin	4
139	C. Durieux	0
140	C. Mathis	1
141	C. Mathis 	1
142	C. Mense	0
143	Cachin	24
144	Calmette	35
145	Camail	4
146	Camail 	4
147	Capéran	14
148	Cardeillac	2
149	Carl Mense	1
150	Carmouze	5
151	Carnas	0
152	Caro	287
153	Carretier	15
154	Carré	583
155	Cartron	35
156	Cartron 	35
157	Casabianca	60
158	Cassagnou	10
159	Castellani	139
160	Castueil	2
161	Cavalade	2
162	Cazanove	18
163	Cazanove. A	0
164	Certain	32
165	Ch. Grall	0
166	Ch. Jojot	0
167	Ch. Meslin	0
168	Ch. Nicolle	0
169	Ch. Niel	0
170	Ch.-M.-E Bailly	0
171	Chabaneix	13
172	Chaigneau	84
173	Chamontin	17
174	Chapeyrou	2
175	Charbonnier	266
176	Charles Crozafon	0
177	Chartres	49
178	Chatenay	26
179	Cheneveau	4
180	Cheynel	19
181	Cheyssial	6
182	Chosky	0
183	Chouquet	18
184	Chédécal	2
185	Ciro L. Urriola	0
186	Clapier	24
187	Clarac	37
188	Clarac 	37
189	Clavel	229
190	Clementino Fraga	1
191	Clouard	25
192	Clément	4149
193	Coliboeuf	1
194	Colin	2372
195	Collin	644
196	Collomb	106
197	Comméléran	3
198	Conan	115
199	Constant Mathis	1
200	Constant Mathis. I	0
201	Contaut	3
202	Coppin	61
203	Cordier	452
204	Coste	568
205	Couderc	217
206	Coulomb	113
207	Coursin	7
208	Courtois-Suffit	2
209	Cousin	439
210	Couteaud	4
211	Couvy	3
212	Cozanet	8
213	Crespin	99
214	D'Anella	0
215	D'Anfreville	2
216	D. Buquet	0
217	Dagorn	35
218	Damiens	69
219	Daniel Bruce	7
220	Dantec	86
221	David Bruce	32
222	De Baudre	1
223	De Goyon	17
224	De Marqueissac	2
225	Decay	4
226	Decorse	9
227	Delage	266
228	Delay	72
229	Delinotte	4
230	Delmas	480
231	Delrieu	63
232	Deneufbourg	6
233	Denier	36
234	Denoeux	6
235	Destelle	9
236	Devy	22
237	Dom Sauton	1
238	Donnet	59
239	Dopter 	59
240	Doreau	29
241	Doucet	299
242	Dourne	1
243	Dr Bonain	0
244	Dr Marqueissac	0
245	Drevon	53
246	Drogoz	2
247	Dubalen	3
248	Dubruel	10
249	Dufougeré	4
250	Duga	5
251	Dumas	961
252	Duperron 	961
253	Dupuy	741
254	Durand	2392
255	Dussaud	25
256	Duval	1026
257	Duvigneau	25
258	E Heckel	0
259	E Marchoux	0
260	E. Bédier	1
261	E. Cousin	1
262	E. Devaux	1
263	E. Farinaud	1
264	E. Guérin	1
265	E. H. Ross	1
266	E. L. Peyre	0
267	E. Marchoux	0
268	E. Marque	0
269	E. Massal	0
270	E. Maurel	0
271	E. Monnier	5
