	NOM (Prenom)	Recherche_G-nbr	Recherche_NomPrenom-nbr
0	ACHALME (P.)	4	0
1	ADDE (R.)	27	0
2	AHMED (E.)	3628	15
3	ALARY (A.)	77	0
4	ALLAIN (Jacques)	364	5
5	ANDREANI-CONSTANTINI (MME)	0	0
6	ANFREVILLE (Léon D’)	5	1
7	ANTOINE	11878	11878
8	ARAVANDINOS (A.)	0	0
9	ARDOIN (E.)	36	0
10	ARGAUD (R.)	21	0
11	ARIAS (J.)	438	7
12	ARLO (J.)	16	1
13	ARROUX	2	2
14	ARZT (L.)	13	0
15	ATHIAS (G.)	22	0
16	AUBERT (P.)	1035	4
17	AUDAIN (L.)	8	0
18	AUGÉ (J.)	193	2
19	BABAULT (G.)	18	0
20	BACMANN (A.)	3	0
21	BADER	202	202
22	BALFOUR (A.)	77	3
23	BALOZET (L.)	2	1
24	BARROIS (TH.)	96	1
25	BARTET (A.)	13	1
26	BARTET()	13	13
27	BASILE (C.)	470	3
28	BAUCHE (J.)	30	1
29	BAUJEAN (R.)	3	0
30	BAUVALLET (H.)	1	0
31	BAYEUX (R.)	29	0
32	BAZIN	392	392
33	BAZIN (R.)	392	1
34	BEAUJEAN (R.)	39	0
35	BÉCLÊRE	4	4
36	BEGUET (M.)	18	0
37	BEGUET()	18	18
38	BEKENSKY (P.W.)	0	0
39	BELITZER (A.W.)	0	0
40	BELLET (E.)	148	1
41	BELLEVAL (G.)	12	1
42	BENAZET (L.)	41	0
43	BENOIT-GONIN	9	9
44	BEQUAERT (J.)	4	0
45	BERNARD (P. NOËL)	17175	0
46	BERTRAND (Louis-Edmond)	5221	1
47	BETTENCOURT (A.)	72	3
48	BIENASSIS (E.)	6	0
49	BIJON (R.)	17	0
50	BILLET (A.)	142	1
51	BILLIEMAZ (A.)	6	0
52	BIOT (R.)	60	0
53	BIZARD	27	27
54	BLAIZOT (L.)	31	0
55	BLANC (G.)	1940	12
56	BLANC (GEORGES)	1940	14
57	BLANCHARD (Camille)	951	2
58	BLANCHARD (M.)	951	10
59	BLANCHARD (Raphael)	951	1
60	BLANQUIER (H.)	4	0
61	BLIN (G.)	288	0
62	BODET	78	78
63	BONAIN (C.)	1	0
64	BONNEFAY()	0	0
65	BONNET (A.)	1523	11
66	BOQUET (A.)	57	0
67	BORGES (I.)	310	1
68	BORIES (L.)	104	0
69	BORREL (A.)	72	0
70	BOSSAVY (F.)	6	0
71	BOTELHO (C.)	96	1
72	BOTREAU-ROUSSEL	6	6
73	BOUCHER (Humbert)	693	1
74	BOUET (G.)	134	0
75	BOUFFARD (Gustave)	82	2
76	BOUILLIEZ (M.)	6	0
77	BOUIN (A.)	57	1
78	BOUQUET (H.)	240	0
79	BOURRAGUÉ (N.)	1	0
80	BOURRET (G.)	81	0
81	BOUTIN (P.)	257	2
82	BOUVIER (J.E.)	625	0
83	BRAU (P.)	44	0
84	BRAULT (J.)	249	3
85	BRÉMONT (E.)	33	0
86	BRESSON (P.)	229	0
87	BRIDRE (J.)	1	0
88	BRIMONT (E.)	10	0
89	BROCHARD (V.)	135	0
90	BRODEN (A.)	4	0
91	BROQUET (C.)	41	0
92	BROQUET (CH.)	41	0
93	BROQUET()	41	41
94	BRUCH (A.)	47	0
95	BRUG (S.-L.)	31	0
96	BRUMPT (Emile)	5	1
97	BRUN (G.)	1299	2
98	BRUYANT (L.)	23	0
99	BUSSIERE (A.)	103	1
100	BUSSIERE (F.)	103	1
101	CADET (G.)	247	1
102	CAILLE (E.)	165	1
103	CAIUS (R.P.F.)	76	0
104	CALINESCU (J.)	8	0
105	CALMETTE (A.)	35	2
106	CAMBILLET	0	0
107	CAMINOPETROS (JEAN)	0	0
108	CAMPUS (A.)	21	1
109	CANTACUZÈNE (J.)	18	1
110	CARDAMATIS (J.P.)	1	0
111	CARDEW (A.G.)	11	0
112	CARINI (A.)	38	0
113	CARONIA (G.)	5	0
114	CASTEL()	327	327
115	CASTELLANI (A.)	139	3
116	CATOUILLARD (G.)	2	0
117	CAUCHEMEZ (L.)	3	0
118	CAZALBOU (L.)	6	0
119	CAZENEUVE (Henri-Joseph)	43	0
120	CELLIER (M.)	133	0
121	CERTAIN (B.)	32	0
122	CHAGAS (C.)	46	0
123	CHALMERS (A.J.)	104	0
124	CHANTEMESSE (A.)	8	0
125	CHATTON (Edouard)	24	2
126	CIUCA (A.)	12	0
127	CIUCA (M.)	12	2
128	CLAIR (F.)	349	1
129	CLAPIER	24	24
130	CLAPIER (N.)	24	0
131	CLAPIER (P.)	24	0
132	CLAPIER. (P. N.)	24	0
133	CLARENC (H.)	8	0
134	COLLIN (L.)	644	6
135	COLOMBIER (P.)	88	0
136	COMMES (CH.)	3	0
137	COMTE (C.)	2377	30
138	CONOR (A.)	92	2
139	CONOR (M.)	92	1
140	CONSEIL (E.)	96	0
141	CORDIER (E.)	452	3
142	CORIN (G.)	24	0
143	CORTESI (A.)	50	0
144	COT()	57	57
145	COUENDI (M.)	0	0
146	COUREUR (CH.)	4	0
147	COUTEAUD	4	4
148	COUTO (M.)	125	5
149	COUVY (L.)	3	0
150	COUVY(L.)	3	0
151	CREMER (J.)	114	0
152	CRESPIN (J.)	99	0
153	CROVERI (P.)	0	0
154	CROWELL (P.-C.)	36	0
155	CUENOD (A.)	17	2
156	CURASSON (G )	2	0
157	CURASSON (G.)	2	0
158	D’HÉRELLE (F.)	1	0
159	DA MATTA (A.)	0	0
160	DALLE (M.)	132	0
161	DANG VAN CUONG	0	30
162	DANIEL (G.)	16273	83
163	DANYSZ (J.)	13	1
164	DARLING (S.T.)	81	0
165	DAVID	29017	29017
166	DE BERGEVIN (E.)	0	0
167	DE BRUN (H.)	0	1
168	DE GOYON (J.)	0	0
169	DE MOUZON	0	5
170	DE VALLANDÉ (H.)	0	0
171	DEADERICK (W. H.)	0	0
172	DEFRESSINE (C.)	1	0
173	DEGOUILLON ()	0	0
174	DEGREEF (G.)	7	0
175	DELAMARE (G.)	115	0
176	DELRIEU	63	63
177	DEMIDOFF (A.-P.)	11	0
178	DENARNAUX (P.)	0	0
179	DENAVELLE (P.)	0	0
180	DENIER (A.)	36	0
181	DERRIEU (G.)	4	0
182	DESCAZEAUX (J.)	12	1
183	DEVY	22	22
184	DI CRISTINA (G.)	0	0
185	DISTASO (A.)	5	0
186	DOMINICI-URBANI (CH.)	0	0
187	DONATIEN (A.)	122	1
188	DOPTER (CH.)	3	1
189	DORE (G.)	254	3
190	DOREAU (P.)	29	0
191	DU BOURGUET	0	7
192	DUBOIS (A.)	2142	20
193	DUBRUEL (C.M.E.)	10	0
194	DUCHAMP (J.-C.)	85	1
195	DUKODGEHÉ (W.)	0	0
196	DUMAS (R.)	961	4
197	DUPONT (V.)	1334	0
198	EMILY (J.)	901	11
199	ESCOMEL (E.)	8	0
200	ESPÉRANDIEU (G.)	16	0
201	ESQUIER (A.)	11	0
202	EYRAUD (A.)	104	1
203	EYRAUD (R.)	104	1
204	FABRE (HENRI)	1156	21
205	FANTHAM (H. F.)	1	0
206	FAUQUET	62	62
207	FEYTAUD (J.)	5	1
208	FINZI (G.)	53	0
209	FIORI (C.)	85	0
210	FLEURY (A.)	711	10
211	FLOURENS	19	19
212	FOLEY (H.)	150	2
213	FONTOYNONT (M.)	3	0
214	FOSSEY (A. M. DE)	33	1
215	FRANÇA (C.)	401	0
216	FRANCHINI (G.)	56	1
217	FROILANO DE MELLO()	0	1
218	FRONVILLE (G.)	8	0
219	GABBI (U.)	8	0
220	GAIDE (L.)	19	0
221	GALASESCO()	1	1
222	GAMBIER (A.)	67	1
223	GASPERI (F. DE)	30	0
224	GASTOU (P.)	19	0
225	GAUDUCHEAU (A.)	19	0
226	GAUTHIER (F.)	1468	4
227	GEDOELST (L.)	1	0
228	GENDRE (E.)	174	1
229	GÉRARD (P.)	9723	38
230	GERY (L.)	108	1
231	GILLOT (V.)	161	0
232	GILRUTH (J.A.)	2	1
233	GIOVANNI DI DONIZIO()	0	255
234	GIRARD	1606	1606
235	GOBERT (E.)	177	0
236	GONZALEZ MARTINEZ (I.)	0	0
237	GONZALEZ-LUGO	0	0
238	GOUILLON (P.)	8	0
239	GOUZIEN (P.)	14	0
240	GRALL (CH.)	109	0
241	GRANJUX (E.)	3	0
242	GRAY (A.C.H.)	868	0
243	GREGGIO (Père G.)	6	0
244	GRENIER (M.)	406	3
245	GRENIER()	406	406
246	GRIEWANK (H.)	2	0
247	GROS (H.)	636	1
248	GUYOMARC’H	27	27
