	article_id	article_auteur	article_section	article_titre	article_page	revue_annee	revue_numero	chapitre	article_SPE_seance
0	BSPE-1908-1	LAVERAN (Alphonse)		Discours d’ouverture.	1	1908	1	Séance du 22 janvier 1908	
2	BSPE-1908-15	MARTIN (Louis), DARRÉ	Communication	Sur les symptômes nerveux du début de la maladie du sommeil.	15	1908	1	Séance du 22 janvier 1908. Communications. Sur les symptômes nerveux du début de la maladie du sommeil, par Louis Martin et Darré	22 janvier 1908
4	BSPE-1908-18	SERGENT (ED.)	Communication	La fièvre méditerranéenne en Algérie. Note préliminaire.	18	1908	1	Séance du 22 janvier 1908. Communications. Sur les symptômes nerveux du début de la maladie du sommeil, par Louis Martin et Darré. / La fièvre méditerranéenne en Algérie. Note préliminaire, par le Dr Edmond Sergent	22 janvier 1908
6	BSPE-1908-22	REMY (F. J.)	Communication	Le Debab dans la région de Barika.	22	1908	1	Séance du 22 janvier 1908. Communications. La fièvre méditerranéenne en Algérie. Note préliminaire, par le Dr Edmond Sergent. / Le Debab dans la région de Barika (Algérie), par F. J. Remy.	22 janvier 1908
8	BSPE-1908-25	SERGENT(ED.),SERGENT(ÉT.), LEDOUX (ED.)	Communication	Le Debab dans la région de la Zousfana (SudOranais).	25	1908	1	Séance du 22 janvier 1908. Communications. Le Debab dans la région de la Zousfana (Sud-Oranais), par MM. Ed. et Et. Sergent et Ed. Ledoux	22 janvier 1908
10	BSPE-1908-26	LEVADITI (C.), YAMANOUCHI (T.)	Communication	La réaction de la déviation du complément dans la maladie du sommeil.	26	1908	1	Séance du 22 janvier 1908. Communications. La réaction de la déviation du complément dans la maladie du sommeil, par C. Levaditi et T. Yamanouchi	22 janvier 1908
12	BSPE-1908-28	LAVERAN (Alphonse), THIROUX (A.)	Communication	Sur le traitement des trypanosomiases.	28	1908	1	Séance du 22 janvier 1908. Communications. La réaction de la déviation du complément dans la maladie du sommeil, par C. Levaditi et T. Yamanouchi. / Sur le traitement des trypanosomiases, par A. Laveran et A. Thiroux	22 janvier 1908
14	BSPE-1908-32	SALIMBENI (A.T.)	Communication	Nouvelles recherches sur la toxine cholérique.	32	1908	1	Séance du 22 janvier 1908. Communications. Nouvelles recherches sur la toxine cholérique, par A. T. Salimbeni	22 janvier 1908
16	BSPE-1908-35	BRIMONT (E.)	Communication	Pseudo calculs intestinaux d’origine végétale.	35	1908	1	Séance du 22 janvier 1908. Communications. Nouvelles recherches sur la toxine cholérique, par A. T. Salimbeni. / Pseudo-calculs intestinaux d'origine végétale, par E. Brimont	22 janvier 1908
18	BSPE-1908-38	MARCHOUX (Emile)	Communication	Une observation d’abcès du foie.	38	1908	1	Séance du 22 janvier 1908. Communications. Une observation d'abcès du foie, par E. Marchoux	22 janvier 1908
20	BSPE-1908-41	MESNIL (F.), NICOLLE (M.), REMLINGER (P.)	Communication	Recherche du Protozoaire de J.-H. Wright dans seize cas de bouton d’Alep.	41	1908	1	Séance du 22 janvier 1908. Communications. Une observation d'abcès du foie, par E. Marchoux. / Recherche du protozoaire de J. H. Wright dans 16 cas de bouton d'Alep, par F. Mesnil, M. Nicolle et P. Remlinger	22 janvier 1908
22	BSPE-1908-44	MESNIL (F.), BRIMONT (E.)	Communication	Sur l’action de, l’émétique dans les Trypanosomiases. Note préliminaire.	44	1908	1	Séance du 22 janvier 1908. Communications. Recherche du protozoaire de J. H. Wright dans 16 cas de bouton d'Alep, par F. Mesnil, M. Nicolle et P. Remlinger. / Sur l'action de l'émétique dans les trypanosomiases. Note préliminaire, par F. Mesnil et E. Brimont	22 janvier 1908
24	BSPE-1908-48	NATTAN-LARRIER (L.), BUSSIERE (A.)	Communication	Examen microbiologique de dix cas de bouton d’Orient (bouton de Bouchir).	48	1908	1	Séance du 22 janvier 1908. Communications. Sur l'action de l'émétique dans les trypanosomiases. Note préliminaire, par F. Mesnil et E. Brimont. (Institut Pasteur.). / Examen microbiologique de dix cas de bouton d'Orient (bouton de Bouchir), par L. Nattan-Larrier et A. Bussiere	22 janvier 1908
26	BSPE-1908-51	MANAUD (A.)	Communication	Fibromes cutanés simples. Observation recueillie au Cambodge.	51	1908	1	Séance du 22 janvier 1908. Communications. Examen microbiologique de dix cas de bouton d'Orient (bouton de Bouchir), par L. Nattan-Larrier et A. Bussiere. / Fibromes cutanés multiples. Observation recueillie au Cambodge, par le Dr Manaud.	22 janvier 1908
28	BSPE-1908-54	LÉGER (Marcel)	Communication	Distomatose hépatique. Formule leucocytaire chez les distomés.	54	1908	1	Séance du 22 janvier 1908. Communications. Distomatose hépatique. Formule leucocytaire chez les distomés, par Marcel Leger.	22 janvier 1908
30	BSPE-1908-56	BOURRET (G.)	Communication	Recherches sur la lèpre.	56	1908	1	Séance du 22 janvier 1908. Communications. Distomatose hépatique. Formule leucocytaire chez les distomés, par Marcel Leger... / Recherches sur la lèpre, par G. Bourret.	22 janvier 1908
32	BSPE-1908-68	DOPTER (CH.)	Communication	Traitement de la dysenterie amibienne par la Créosote.	68	1908	1	Séance du 12 février 1908. Communications. Traitement de la dysenterie amibienne par la créosote, par M. Ch. Dopter.	12 février 1908
34	BSPE-1908-71	BILLET (A.)	Discussion	Traitement de la dysenterie amibienne par la Créosote. (Discussion)	71	1908	1	Séance du 12 février 1908. Communications. Traitement de la dysenterie amibienne par la créosote, par M. Ch. Dopter.	12 février 1908
36	BSPE-1908-72	LEMOINE (G.H.)	Communication	Le Kho-Sam et le traitement de la dysenterie amibienne.	72	1908	1	Séance du 12 février 1908. Communications. Traitement de la dysenterie amibienne par la créosote, par M. Ch. Dopter... / Le Kho-Sam et le traitement de la dysenterie amibienne, G. H. Lemoine.	12 février 1908
38	BSPE-1908-77	SCHNEIDER (J.E.J.)	Communication	À propos de la dysenterie amibienne.	77	1908	1	Séance du 12 février 1908. Communications. A propos de la dysenterie amibienne, par J. E. J. Schneider.	12 février 1908
40	BSPE-1908-79	BÉCLÊRE	Communication	Sur l’aide apportée au diagnostic et à la localisation des abcès dysentérique du foie par l’exploration radiologique.	79	1908	1	Séance du 12 février 1908. Communications. Sur l'aide apportée au diagnostic et à la localisation des abcès dysentériques du foie par l'exploration radiologique, Dr Béclère.	12 février 1908
42	BSPE-1908-84	NIMIER	Discussion	Sur l’aide apportée au diagnostic et à la localisation des abcès dysentériques du foie par l’exploration radiologique. (Discussion)	84	1908	1	Séance du 12 février 1908. Communications. Sur l'aide apportée au diagnostic et à la localisation des abcès dysentériques du foie par l'exploration radiologique, Dr Béclère.	12 février 1908
44	BSPE-1908-90	CALMETTE (A.), MASSOL (L.)	Communication	Étude comparée des propriétés antitoxiques, préventives et thérapeutiques d’un sérum antivenimeux au cours des saignées successives. 	90	1908	1	Séance du 12 février 1908. Communications. Sur l'aide apportée au diagnostic et à la localisation des abcès dysentériques du foie par l'exploration radiologique, Dr Béclère... / Etude comparée des propriétés antitoxiques, préventives et thérapeutiques d'un sérum antivenimeux au cours des saignées successives, par A. Calmette et L. Massol.	12 février 1908
46	BSPE-1908-95	NICOLLE (CHARLES), PINOY (E.)	Communication	Un cas de mycétome à grains noirs. Culture et inoculation expérimentale.	95	1908	1	Séance du 12 février 1908. Communications. Un cas de mycétome à grains noirs. Culture et inoculation expérimentale, par Ch. Nicolle et E. Pinoy	12 février 1908
48	BSPE-1908-100	BLIN (G.)	Communication	Destruction des Moustiques par le procédé des trous-pièges.	100	1908	1	Séance du 12 février 1908. Communications. Destruction des moustiques par le procédé des trous-pièges, par G. Blin.	12 février 1908
50	BSPE-1908-103	SERGENT (ED.)	Discussion	Destruction des Moustiques par le procédé des trous-pièges. (Discussion)	103	1908	1	Séance du 12 février 1908. Communications. Destruction des moustiques par le procédé des trous-pièges, par G. Blin.	12 février 1908
52	BSPE-1908-104	LESAGE (A.)	Communication	Note sur les Entamibes dans la dysenterie amibienne des pays chauds.	104	1908	1	Séance du 12 février 1908. Communications. Note sur les Entamibes dans la dysenterie amibienne des pays chauds, par A. Lesage	12 février 1908
54	BSPE-1908-111	BILLET (A.)	Communication	La peste en Algérie en 1907. Recherches particulières sur les rats, leurs ectoparasites et leurs rapports avec l’épidémie, dans le département de Constantine.	111	1908	1	Séance du 12 février 1908. Communications. Note sur les Entamibes dans la dysenterie amibienne des pays chauds, par A. Lesage. / La peste en Algérie en 1907. Recherches particulières sur les rats, leurs ectoparasites et leurs rapports avec l'épidémie, dans le département de Constantine, par A. Billet.	12 février 1908
