article_id,article_auteur,article_titre,article_page,revue_annee,revue_numero
BSPE-1-1,LAVERAN (Alphonse),Discours d’ouverture.,1,1908,1
BSPE-1-15,"MARTIN (Louis), DARRÉ",Sur les symptômes nerveux du début de la maladie du sommeil.,15,1908,1
BSPE-1-18,SERGENT (ED.),La fièvre méditerranéenne en Algérie. Note préliminaire.,18,1908,1
BSPE-1-22,REMY (F. J.),Le Debab dans la région de Barika.,22,1908,1
BSPE-1-25,"SERGENT(ED.),SERGENT(ÉT.), LEDOUX (ED.)",Le Debab dans la région de la Zousfana (SudOranais).,25,1908,1
BSPE-1-26,"LEVADITI (C.), YAMANOUCHI (T.)",La réaction de la déviation du complément dans la maladie du sommeil.,26,1908,1
BSPE-1-28,"LAVERAN (Alphonse), THIROUX (A.)",Sur le traitement des trypanosomiases.,28,1908,1
BSPE-1-32,SALIMBENI (A.T.),Nouvelles recherches sur la toxine cholérique.,32,1908,1
BSPE-1-35,BRIMONT (E.),Pseudo calculs intestinaux d’origine végétale.,35,1908,1
BSPE-1-38,MARCHOUX (Emile),Une observation d’abcès du foie.,38,1908,1
BSPE-1-41,"MESNIL (F.), NICOLLE (M.), REMLINGER (P.)",Recherche du Protozoaire de J.-H. Wright dans seize cas de bouton d’Alep.,41,1908,1
BSPE-1-44,"MESNIL (F.), BRIMONT (E.)","Sur l’action de, l’émétique dans les Trypanosomiases. Note préliminaire.",44,1908,1
BSPE-1-48,"NATTAN-LARRIER (L.), BUSSIERE (A.)",Examen microbiologique de dix cas de bouton d’Orient (bouton de Bouchir).,48,1908,1
BSPE-1-51,MANAUD (A.),Fibromes cutanés simples. Observation recueillie au Cambodge.,51,1908,1
BSPE-1-54,LÉGER (Marcel),Distomatose hépatique. Formule leucocytaire chez les distomés.,54,1908,1
BSPE-1-56,BOURRET (G.),Recherches sur la lèpre.,56,1908,1
BSPE-1-68,DOPTER (CH.),Traitement de la dysenterie amibienne par la Créosote.,68,1908,1
BSPE-1-71,BILLET (A.),Traitement de la dysenterie amibienne par la Créosote. (Discussion),71,1908,1
BSPE-1-72,LEMOINE (G.H.),Le Kho-Sam et le traitement de la dysenterie amibienne.,72,1908,1
BSPE-1-77,SCHNEIDER (J.E.J.),À propos de la dysenterie amibienne.,77,1908,1
BSPE-1-79,BÉCLÊRE,Sur l’aide apportée au diagnostic et à la localisation des abcès dysentérique du foie par l’exploration radiologique.,79,1908,1
BSPE-1-84,NIMIER,Sur l’aide apportée au diagnostic et à la localisation des abcès dysentériques du foie par l’exploration radiologique. (Discussion),84,1908,1
BSPE-1-90,"CALMETTE (A.), MASSOL (L.)","Étude comparée des propriétés antitoxiques, préventives et thérapeutiques d’un sérum antivenimeux au cours des saignées successives. ",90,1908,1
BSPE-1-95,"NICOLLE (CHARLES), PINOY (E.)",Un cas de mycétome à grains noirs. Culture et inoculation expérimentale.,95,1908,1
BSPE-1-100,BLIN (G.),Destruction des Moustiques par le procédé des trous-pièges.,100,1908,1
BSPE-1-103,SERGENT (ED.),Destruction des Moustiques par le procédé des trous-pièges. (Discussion),103,1908,1
BSPE-1-104,LESAGE (A.),Note sur les Entamibes dans la dysenterie amibienne des pays chauds.,104,1908,1
BSPE-1-111,BILLET (A.),"La peste en Algérie en 1907. Recherches particulières sur les rats, leurs ectoparasites et leurs rapports avec l’épidémie, dans le département de Constantine.",111,1908,1
BSPE-1-117,"LEVADITI (C.), ROSENBAUM","Action des substances hémolytiques sur les Spirochètes, les Protozoaires et les Vibrions. ",117,1908,1
BSPE-1-121,NICOLLE (CHARLES),Culture des corps de Leishman isolés de la rate dans trois cas d’anémie splénique infantile. ,121,1908,1
BSPE-1-126,"MARTIN (Gustave), LEBŒUF (A.)",Diagnostic microscopique de la trypanosomiase humaine. Valeur comparée des divers procédés. ,126,1908,1
BSPE-1-136,"RODET (A.), VALLET (G.)",Sur le pouvoir bactéricide du sang dans le Nagana expérimental.,136,1908,1
BSPE-1-140,"LEVADITI (C.), YAMANOUCHI (T.)",La réaction des lipoïdes dans les trypanosomiases et les spirilloses expérimentales.,140,1908,1
BSPE-1-144,"MARTIN (Gustave), LEBŒUF (A.), ROUBAUD (É.)",Épidémies de maladie du sommeil au Congo français. La contagion par familles et par cases. ,144,1908,1
BSPE-1-148,LAVERAN (Alphonse),"Sur une hémogrégarine, un trypanosome et un spirille trouvés dans le sang d’un requin.",148,1908,1
BSPE-1-151,BORREL (A.),"Spirilles, Spirochètes, Trypanosomes.",151,1908,1
BSPE-1-156,"YERSIN (A.), VASSAL (J.J.)",Une maladie rappelant le typhus exanthématique observée en Indo-Chine.,156,1908,1
BSPE-1-165,NICOLLE (CHARLES),La peste en Tunisie pendant l’année 1907.,165,1908,1
BSPE-1-167,CONSEIL (E.),Cinq cas de peste observés à Tunis.,167,1908,1
BSPE-1-170,BERTRAND (Louis-Edmond),Révulsion réciproque de l’intestin et du foie dans l’hépatite dysentérique  balancement symptomatique et nosocomial. ,170,1908,1
BSPE-1-172,"FOLEY (H.), YVERNAULT (A.)",Anophélines dans l’eau salée.,172,1908,1
