NOM (Prenom)
ACHALME (P.)
ADDE (R.)
AHMED (E.)
ALARY (A.)
ALLAIN (Jacques)
ANDREANI-CONSTANTINI (MME)
ANFREVILLE (Léon D’)
ANTOINE
ARAVANDINOS (A.)
ARDOIN (E.)
ARGAUD (R.)
ARIAS (J.)
ARLO (J.)
ARROUX
ARZT (L.)
ATHIAS (G.)
AUBERT (P.)
AUDAIN (L.)
AUGÉ (J.)
BABAULT (G.)
BACMANN (A.)
BADER
BALFOUR (A.)
BALOZET (L.)
BARROIS (TH.)
BARTET (A.)
BARTET()
BASILE (C.)
BAUCHE (J.)
BAUJEAN (R.)
BAUVALLET (H.)
BAYEUX (R.)
BAZIN
BAZIN (R.)
BEAUJEAN (R.)
BÉCLÊRE
BEGUET (M.)
BEGUET()
BEKENSKY (P.W.)
BELITZER (A.W.)
BELLET (E.)
BELLEVAL (G.)
BENAZET (L.)
BENOIT-GONIN
BEQUAERT (J.)
BERNARD (P. NOËL)
BERTRAND (Louis-Edmond)
BETTENCOURT (A.)
BIENASSIS (E.)
BIJON (R.)
BILLET (A.)
BILLIEMAZ (A.)
BIOT (R.)
BIZARD
BLAIZOT (L.)
BLANC (G.)
BLANC (GEORGES)
BLANCHARD (Camille)
BLANCHARD (M.)
BLANCHARD (Raphael)
BLANQUIER (H.)
BLIN (G.)
BODET
BONAIN (C.)
BONNEFAY()
BONNET (A.)
BOQUET (A.)
BORGES (I.)
BORIES (L.)
BORREL (A.)
BOSSAVY (F.)
BOTELHO (C.)
BOTREAU-ROUSSEL
BOUCHER (Humbert)
BOUET (G.)
BOUFFARD (Gustave)
BOUILLIEZ (M.)
BOUIN (A.)
BOUQUET (H.)
BOURRAGUÉ (N.)
BOURRET (G.)
BOUTIN (P.)
BOUVIER (J.E.)
BRAU (P.)
BRAULT (J.)
BRÉMONT (E.)
BRESSON (P.)
BRIDRE (J.)
BRIMONT (E.)
BROCHARD (V.)
BRODEN (A.)
BROQUET (C.)
BROQUET (CH.)
BROQUET()
BRUCH (A.)
BRUG (S.-L.)
BRUMPT (Emile)
BRUN (G.)
BRUYANT (L.)
BUSSIERE (A.)
BUSSIERE (F.)
CADET (G.)
CAILLE (E.)
CAIUS (R.P.F.)
CALINESCU (J.)
CALMETTE (A.)
CAMBILLET
CAMINOPETROS (JEAN)
CAMPUS (A.)
CANTACUZÈNE (J.)
CARDAMATIS (J.P.)
CARDEW (A.G.)
CARINI (A.)
CARONIA (G.)
CASTEL()
CASTELLANI (A.)
CATOUILLARD (G.)
CAUCHEMEZ (L.)
CAZALBOU (L.)
CAZENEUVE (Henri-Joseph)
CELLIER (M.)
CERTAIN (B.)
CHAGAS (C.)
CHALMERS (A.J.)
CHANTEMESSE (A.)
CHATTON (Edouard)
CIUCA (A.)
CIUCA (M.)
CLAIR (F.)
CLAPIER
CLAPIER (N.)
CLAPIER (P.)
CLAPIER. (P. N.)
CLARENC (H.)
COLLIN (L.)
COLOMBIER (P.)
COMMES (CH.)
COMTE (C.)
CONOR (A.)
CONOR (M.)
CONSEIL (E.)
CORDIER (E.)
CORIN (G.)
CORTESI (A.)
COT()
COUENDI (M.)
COUREUR (CH.)
COUTEAUD
COUTO (M.)
COUVY (L.)
COUVY(L.)
CREMER (J.)
CRESPIN (J.)
CROVERI (P.)
CROWELL (P.-C.)
CUENOD (A.)
CURASSON (G )
CURASSON (G.)
D’HÉRELLE (F.)
DA MATTA (A.)
DALLE (M.)
DANG VAN CUONG
DANIEL (G.)
DANYSZ (J.)
DARLING (S.T.)
DAVID
DE BERGEVIN (E.)
DE BRUN (H.)
DE GOYON (J.)
DE MOUZON
DE VALLANDÉ (H.)
DEADERICK (W. H.)
DEFRESSINE (C.)
DEGOUILLON ()
DEGREEF (G.)
DELAMARE (G.)
DELRIEU
DEMIDOFF (A.-P.)
DENARNAUX (P.)
DENAVELLE (P.)
DENIER (A.)
DERRIEU (G.)
DESCAZEAUX (J.)
DEVY
DI CRISTINA (G.)
DISTASO (A.)
DOMINICI-URBANI (CH.)
DONATIEN (A.)
DOPTER (CH.)
DORE (G.)
DOREAU (P.)
DU BOURGUET
DUBOIS (A.)
DUBRUEL (C.M.E.)
DUCHAMP (J.-C.)
DUKODGEHÉ (W.)
DUMAS (R.)
DUPONT (V.)
EMILY (J.)
ESCOMEL (E.)
ESPÉRANDIEU (G.)
ESQUIER (A.)
EYRAUD (A.)
EYRAUD (R.)
FABRE (HENRI)
FANTHAM (H. F.)
FAUQUET
FEYTAUD (J.)
FINZI (G.)
FIORI (C.)
FLEURY (A.)
FLOURENS
FOLEY (H.)
FONTOYNONT (M.)
FOSSEY (A. M. DE)
FRANÇA (C.)
FRANCHINI (G.)
FROILANO DE MELLO()
FRONVILLE (G.)
GABBI (U.)
GAIDE (L.)
GALASESCO()
GAMBIER (A.)
GASPERI (F. DE)
GASTOU (P.)
GAUDUCHEAU (A.)
GAUTHIER (F.)
GEDOELST (L.)
GENDRE (E.)
GÉRARD (P.)
GERY (L.)
GILLOT (V.)
GILRUTH (J.A.)
GIOVANNI DI DONIZIO()
GIRARD
GOBERT (E.)
GONZALEZ MARTINEZ (I.)
GONZALEZ-LUGO
GOUILLON (P.)
GOUZIEN (P.)
GRALL (CH.)
GRANJUX (E.)
GRAY (A.C.H.)
GREGGIO (Père G.)
GRENIER (M.)
GRENIER()
GRIEWANK (H.)
GROS (H.)
GUYOMARC’H
HARTMANN (CHARLES)
HAVET (J.)
HAYAT (A.)
HECKENROTH (F.)
HEMPL (H.)
HENRY (A.)
HENRY (A.)
HENRY (V.)
HEYMANN (P.)
HINDLE (EDW.)
HOUSSAY (B.A.)
HOUSSIAU (J.)
HOVASSE
HUDELLET (G.)
HUET
HUSNOT (P.)
IMAN (T.)
ISAMBERT
ISMERT (R.)
IWANOFF (Z.A.)
JAMOT (E.)
JANNOT (A.)
JAVELLY (E.)
JEANSELME (E.)
JEMMA (R.)
JOJOT (CH.)
