	article_id	article_auteur	article_detail	article_titre	revue_annee	revue_numero	article_page
0	AHMC-01-9	le Dr Clarac	 Première partie	 Contribution à la géographie médicale. Notes sur le paludisme observé à Dakar (Sénégal).	1898	01	9
2	AHMC-01-114	le Dr Fontaine(1)		Notes sur la mortalité des troupes d'infanterie et d'artillerie de marine casernées en Cochinchine (1890 à 1896).	1898	01	114
3	AHMC-01-129	le Dr Calmette		Sur le mécanisme de l'immunisation contre les venins.	1898	01	129
4	AHMC-01-135			 Notes succinctes sur l'état sanitaire de nos colonies	1898	01	135
5	AHMC-01-143	le Dr J-C Baurac		Clinique d'Outre-Mer. Contribution à l'étude de la toxicologie. Troubles que peut provoquer l'iodure de potassium. Observation faite à l'hôpital colonial de My-Tho (Cochinchine).	1898	01	143
6	AHMC-01-149	le Dr Pierre (Louis-Édouard)		Clinique d'Outre-Mer. Rapport sur les conditions dans lesquelles se trouvent actuellement les lépreux en Nouvelle-Calédonie.	1898	01	149
7	AHMC-01-156	le Dr Henry		Variétés. Médecins annamites. Organisation du service médical indigène en Annam.	1898	01	156
8	AHMC-01-162	colonie au 1er janvier 1898		 Bulletin officiel. Corps de santé des colonies. État du personnel	1898	01	162
9	AHMC-01-164			Janvier. — Février. — Mars 1898. Dépèches ministérielles concernant les officiers du corps de santé des colonies et pays de protectorat	1898	01	164
10	AHMC-01-169	le Dr J. Nogué. Chapitre premier	 Le Cambodge — ses habitants — la variole au Cambodge à l'état endémique — épidémies fréquentes	 Contribution à la géographie médicale. Missions de vaccine au Cambodge.	1898	01	169
12	AHMC-01-177	M. le médecin de 1re classe Lombard. — Mauvais résultat, 1890. — Création d'un institut vaccinogène à Saïgon, 1891. — Service régulier de la vaccine à l'hôpital mixte de Pnom-Penh. — M. Devoti, 1890. — M. Mondon, 1891, — MM. Depasse, 1892 ; Pinard, 1893 ; Grognier, 1894 ; Angier 1895, réclament pour le Cambodge un service mobile de la vaccine, tel qu'il existe en Cochinchine et au Tonkin. — Tournées du Dr Conan	 — Tournées du Dr Ortholan	 Contribution à la géographie médicale. Missions de vaccine au Cambodge. Par le Dr J. Nogué. Chapitre II. La variole d'après les Cambodgiens. — Traitement de la variole, vaccinations chinoise et malaise. Chapitre III. Les médecins français au Cambodge. — Premières vaccinations. — Difficultés que rencontre la pratique jennérienne. — Première tournée faite	1898	01	177
13	AHMC-01-181	M. le médecin de 1re classe Lombard. — Mauvais résultat, 1890. — Création d'un institut vaccinogène à Saïgon, 1891. — Service régulier de la vaccine à l'hôpital mixte de Pnom-Penh. — M. Devoti, 1890. — M. Mondon, 1891, — MM. Depasse, 1892 ; Pinard, 1893 ; Grognier, 1894 ; Angier 1895, réclament pour le Cambodge un service mobile de la vaccine, tel qu'il existe en Cochinchine et au Tonkin. — Tournées du Dr Conan. — Tournées du Dr Ortholan. Chapitre IV. Le vaccin. — Procédé opératoire. — Première tournée. — Kompong-Thom. — La pêche dans les lacs. — La rivière de Kompong-Thom. — Insuccès de notre tournée. — Les causes	 — Préjugés indigènes	 Contribution à la géographie médicale. Missions de vaccine au Cambodge. Par le Dr J. Nogué. Chapitre III. Les médecins français au Cambodge. — Premières vaccinations. — Difficultés que rencontre la pratique jennérienne. — Première tournée faite	1898	01	181
16	AHMC-01-203	la Conchichine. — Le Vaïco occidental. — La plaine des joncs. — Tournée de vaccine	 — Les forêts de Romduol et Romeas-Hêk	 Contribution à la géographie médicale. Missions de vaccine au Cambodge. Par le Dr J. Nogué. Chapitre VII. Banam-prey-veng. — Le Tonlé-Tauch. — Richesses des provinces de Lovéa-Em-Sitho-Parang, Sitho-Kandal, Soai-Romiet, Thbong-Khmum. Chapitre VIII. De Phnom-penh à Soai-riêng	1898	01	203
17	AHMC-01-210	la Conchichine. — Le Vaïco occidental. — La plaine des joncs. — Tournée de vaccine. — Les forêts de Romduol et Romeas-Hêk. Chapitre IX. De Phnom-Penh à Kampot. — La circonscription, les provinces. — Le nuoc-mam annamite et le prâhok cambodgien. — Le Prââk. — La culture du poivre. — Kampot. — Une plantation de Café moka. — La pointe samit. — Îles du Golfe de Siam	 — Tournée de vaccine	 Contribution à la géographie médicale. Missions de vaccine au Cambodge. Par le Dr J. Nogué. Chapitre VIII. De Phnom-Penh à Soai-riêng	1898	01	210
21	AHMC-01-234			Considérations générales sur la morbidité et la mortalité de l'année 1897. Aperçu démographique de la Martinique. Extrait du rapport du Dr Gries	1898	01	234
22	AHMC-01-244			 Assistance publique aux colonies. I Considérations générales	1898	01	244
23	AHMC-01-248			 Assistance publique aux colonies. I Considérations générales. II Établissements d'assistance publique aux colonies	1898	01	248
24	AHMC-01-254			 Assistance publique aux colonies. II Établissements d'assistance publique aux colonies. III Autres modes de l'assistance publique aux colonies	1898	01	254
25	AHMC-01-259	le Dr Blin		 Cas de disproportion physiologique considérable du corps d'un foetus avec celui de sa mère. Naine de race hindoue mesurant seulement 1m,10 de taille.	1898	01	259
26	AHMC-01-263			La lèpre à la conférence de Berlin	1898	01	263
27	AHMC-01-277	l'arrêté du 10 mars 1897		Fonctionnement aux colonies des ambulances créées	1898	01	277
28	AHMC-01-280	l'arrêté du 10 mars 1897	 But de cette création	 Fonctionnement aux colonies des ambulances créées	1898	01	280
31	AHMC-01-293			Variétés. De quelques coutumes des indigènes des Samoa et de Wallis qui tendent à disparaître	1898	01	293
32	AHMC-01-301			Bulletin officiel	1898	01	301
33	AHMC-01-305	le Dr	 Lasnet	 Contribution à la géographie médicale. Mission du Baoulé.	1898	01	305
36	AHMC-01-349	M	 le Dr Simond	 Rapport sur les cas de pestes traités dans l'Inde anglaise au moyen du sérum antipesteux préparé à l'Institut Pasteur de Paris par M. le Dr Roux.	1898	01	349
37	AHMC-01-361	le Dr Drevon		Morbidité et mortalité du personnel militaire de la Guadeloupe pendant l'année 1897.	1898	01	361
38	AHMC-01-368	M	 Koch	Observations médicales faites sous les tropiques.	1898	01	368
39	AHMC-01-396	le Dr Miquel	 I Population	Notes d'Histoire naturelle sur le Fouta-Djallon.	1898	01	396
